sjoid	HCL	LN	Abs (filtered)	Alk_Acid	altitude	B_Fin_detritus	B_Fin_död_ved	B_Fin_sten_dom_typ	B_Fina_block_dom_typ	B_Finsediment_dom_typ	B_Flytbladsväxter_före_klass	B_Grov_detritus	B_Grov_död_ved	B_Grov_sten_dom_typ	B_Grova_block_dom_typ	B_Grus_dom_typ	B_Häll_dom_typ	B_Mossa_före_klass	B_Påväxtalger_före_klass	B_Rosettväxter_före_klass	B_Sand_dom_typ	B_Slingeväxter_före_klass	B_Övervattenväxter_före_klass	bare rocks	broad-leaved forest	Ca	catchment area	Cl	coniferous forest	glaciers	Illies ecoregion	lake area	mean depth (pred or observed)	mean temperature coldest month	mean temperature warmest month	mean temperature year	Mg	mixed forest	N_Barrskog	N_Blandskog	N_Hed	N_Häll_blockmark	N_Kalfjäll	N_Lövskog	N_Myr_våtmark	N_Äng	no_data	precipitation sample month	precipitation year	Reference tot-P	shoreline	temperature sample month	water	vegetation	wetlands
615464-134175	above HCL	S	0,065	2,763	48,9	2	0	2	1	2	0	0	0	1	0	2	0	0	0	0	3	0	0	0	0,18	2,977	39,8	0,622	0,11	0	14	2,7648	1,5	1,83	15,69	9,16166667	0,473	0,05	0	0	0	0	0	3	0	0	0	93,01	835,33	9,21	10,26	7,28	0,14	0	0,02
616267-136857	above HCL	S	0,079	2,69	36	0	2	2	2	0	0	2	0	3	2	2	0	0	0	0	2	0	0	0	0,17	2,926	53,42	0,418	0,07	0	14	2,4646	3,9	1,69	15,52	9,08333333	0,397	0,05	0	0	0	0	0	3	0	0	0	69,59	689,32	10,2	12,14	7,36	0,1	0	0
617666-135851	above HCL	S	0,05	3,014	19	0	1	2	0	0	0	2	0	2	0	2	0	0	0	0	3	0	0	0	0,08	3,629	465,71	0,443	0,05	0	14	11,9562	6,6	1,83	15,91	9,32666667	0,521	0,03	0	0	0	0	0	1	0	0	0	71,42	739,25	9,78	14,69	7,4	0,03	0	0
620406-140165	below HCL	S	0,335	0,363	0	1	1	2	2	0	0	1	1	2	2	1	1	0	1	1	1	1	1	0	0,11	0,722	4128,06	0,357	0,41	0	14	16,8116	0,4	1,66	15,77	9,045	0,195	0,09	0	0	0	0	0	3	1	0	0	55,26	649,32	26,36	31,34	11,48	0,05	0	0,04
621669-141629	below HCL	S	0,067	0,545	5	1	0	2	2	0	0	0	0	2	1	1	1	0	2	2	1	0	3	0	0,15	0,852	993,12	0,406	0,4	0	14	50,1202	10,775	1,51	15,68	8,90333333	0,186	0,1	0	0	0	0	0	3	0	0	0	63,64	651,29	12,96	95,6	11,4	0,13	0	0,01
622084-141784	below HCL	S	0,01	2,197	7	1	0	2	1	1	0	1	0	2	0	1	0	0	0	0	2	1	3	0	0,2	2,773	11,65	0,49	0,06	0	14	2,606	10,6	1,53	15,7	8,9425	0,231	0,06	0	0	0	0	0	3	0	0	0	67,98	665,52	7,04	7,9	11,42	0,23	0,05	0
623811-137924	above HCL	S	0,055	0,156	55	1	1	1	1	1	0	1	1	1	0	2	0	0	0	2	2	1	2	0	0,31	0,36	21,63	0,407	0,22	0	14	3,4288	3,5	1,01	15,32	8,48666667	0,175	0,1	0	0	0	0	0	1	0	3	0	76,61	808,4	8,62	13,56	6,45	0,16	0	0,01
624171-134831	above HCL	S	0,351	0,083	85	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0,16	0,342	22,45	0,38	0,52	0	14	0,1661	2	1,05	15,06	8,42	0,161	0,14	0	0	0	0	0	3	0	0	0	67,62	887,83	13,97	1,69	6,44	0,04	0	0
624317-144658	above HCL	S	0,03	0,382	83,5	0	1	1	1	0	0	2	0	1	2	2	0	0	3	0	2	1	2	0	0,04	0,559	1,01	0,188	0,6	0	14	0,1982	5,2	0,8	15,14	8,375	0,124	0,06	0	0	0	2	0	1	0	3	0	125,35	825,99	6,78	1,8	10,95	0,26	0	0
624398-148002	above HCL	S	0,068	0,421	75,6	0	0	2	1	0	0	0	0	1	0	3	0	0	0	2	1	0	0	0	0,07	0,545	6,55	0,156	0,37	0	14	0,2869	3,8	0,94	15,06	8,45666667	0,116	0,43	0	0	0	0	0	2	0	0	0	141,47	806,44	8,76	3,38	7,16	0,09	0	0
