Vdr_Id	bare_rock	broadleaved_forest	coniferous_forest	glaciers	inland_water	inland_wetlands	mixed_forest	vegetation	altitude	Illies ecoreg	catch_area(m2)	LN	HCL	ref-P	mean temperature year	mean temperature coldest month	mean temperature warmest month	temperature sample month	precipitation sample month	precipitation year	slope	B_Fin_detritus	B_Fin_död_ved	B_Fin_sten_dom_typ	B_Fina_block_dom_typ	B_Finsediment_dom_typ	B_Flytbladsväxter_före_klass	B_Grov_detritus	B_Grov_död_ved	B_Grov_sten_dom_typ	B_Grova_block_dom_typ	B_Grus_dom_typ	B_Häll_dom_typ	B_Mossa_före_klass	B_Påväxtalger_före_klass	B_Rosettväxter_före_klass	B_Sand_dom_typ	B_Slingeväxter_före_klass	B_Övervattenväxter_före_klass	N_Barrskog	N_Blandskog	N_Hed	N_Häll_blockmark	N_Kalfjäll	N_Lövskog	N_Myr_våtmark	N_Äng	Alk_Acid	Abs_F
2	0	0,00615108	0,54760738	0	0,10020616	0,06974171	0,10853277	0	322	22	66799784,3	N	above HCL	5,65	2,41833333	-8,17	14,13	4,69	96,38	970,43	3,7152559	1	1	1	2	0	0	2	0	3	2	1	0	2	3	0	1	0	0	0	3	0	0	0	0	0	0	0,082	0,068
4	0	0,05765715	0,23977686	0	0,00784281	0,40041818	0,16815065	0,00720571	347	22	184906588	N	above HCL	7,31	2,195	-7,96	13,66	4,6	114,01	935,06	5,89708097	2	1	1	2	1	0	2	1	2	3	2	2	3	2	0	1	0	0	0	3	0	0	0	0	1	0	0,352	0,07
5	0	0,01751313	0,45761759	0	0,06219516	0,14446664	0,19439142	0	202	22	245548528	N	below HCL	9,1	3,405	-7,17	14,87	5,56	66,02	808,84	7,07808944	1	1	2	2	0	0	2	1	2	1	1	0	2	2	0	1	0	0	0	2	0	1	0	2	1	0	0,108	0,173
6	0	0,00110497	0,34040196	0	0,08905055	0,3418503	0,11832965	0	275	22	10746897,5	N	above HCL	10,13	2,90583333	-7,39	14,6	4,98	76,09	885,13	3,38614217	1	1	2	1	0	0	2	0	3	1	1	0	2	3	0	1	0	0	0	2	0	0	0	0	0	2	0,06	0,33
7	0	0,01283815	0,58223081	0	0,04904429	0,09492259	0,13074797	0	203	22	106160756	N	below HCL	10,73	3,31166667	-6,91	14,48	5,44	79,21	918,11	3,87784528	3	2	1	2	0	0	1	1	2	2	0	1	1	2	0	1	0	0	0	0	0	1	0	2	2	0	0,046	0,328
8	0	0,12941207	0,28677713	0	0,2048837	0,13608445	0,12818841	0,08280444	422	20	24984576	N	above HCL	6,59	1,34583333	-9,25	13,11	3,65	105,1	1099,05	5,10983312	1	1	2	2	0	0	1	1	2	2	1	0	1	2	0	1	0	0	0	3	0	0	0	0	1	0	0,067	0,127
9	0	0,02580419	0,54575887	0	0,01119746	0,035898	0,16551289	0	108	22	148694464	N	below HCL	13,62	4,3075	-5,04	14,83	6,64	100,33	1064,61	9,07235633	2	0	1	1	3	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0,084	0,395
10	0	0,00845944	0,46411734	0	0,00263203	0,03189567	0,27491969	0	1	22	69812953,6	N	below HCL	19,52	5,1125	-3,4	14,98	7,7	103,6	1048,49	4,13456939	1	1	1	2	0	0	2	0	1	2	2	1	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0,07	0,416
12	0	0,01242614	0,43071709	0	0,03762013	0,02321496	0,28526528	0	87	22	149866686	N	below HCL	14,14	4,04833333	-5,05	14,46	6,5	98,79	1063,37	5,85404322	1	1	1	2	1	0	1	2	1	2	1	2	1	2	0	1	0	0	2	2	0	1	0	0	1	0	0,14	0,341
13	0	0,00724207	0,63012589	0	0,00473212	0,01674949	0,12736401	0	4	22	39362259,7	N	below HCL	22,28	4,61333333	-4,35	14,87	7,01	93,58	983,7	6,59109471	1	1	1	2	2	0	2	1	1	2	1	1	0	2	0	1	0	0	0	0	0	0	0	2	0	3	0,024	0,562
15	0	0,1363075	0,24684732	0	0,02501196	0,1987934	0,27973553	0	407	22	47552259,2	N	above HCL	7,81	1,705	-8,4	12,91	3,8	94,53	1083,68	5,09120472	1	0	2	1	0	0	1	0	1	0	1	0	1	2	1	1	3	0	2	3	0	0	0	1	0	0	0,142	0,162
16	0	0,05444674	0,47717092	0	0,05287707	0,11756962	0,1921563	0	214	22	111096927	N	below HCL	11,51	3,21833333	-6,92	14,33	5,35	83,61	929,55	8,27564021	1	0	1	2	0	0	1	0	2	2	1	1	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0,002	0,479
17	0	0,08558358	0,220167	0	0,01337063	0,28959608	0,2627766	0	363	22	74410220	N	above HCL	8,06	2,30833333	-7,98	13,51	4,4	81,5	972,17	10,3002382	1	1	0	2	0	0	1	0	2	3	1	0	2	1	2	1	0	0	2	3	0	0	0	1	0	0	0,089	0,207
18	0	0,03588043	0,34585617	0	0,10589929	0,0840486	0,1578408	0	269	22	32513200,7	N	above HCL	7,83	2,5675	-7,92	13,9	4,69	80,1	943,89	8,92275078	1	1	1	0	1	0	1	0	1	0	2	0	1	1	1	1	3	0	2	2	0	0	0	1	0	0	0,076	0,17
20	0	0,01234219	0,65139772	0	0,0131555	0,07769873	0,12413741	0	28	22	122239748	N	below HCL	18,39	4,57416667	-4,47	14,88	6,97	102,27	1102,31	5,93267366	1	1	2	2	1	0	1	0	2	2	1	0	2	2	0	1	0	0	1	3	0	0	0	0	1	0	-0,076	0,628
21	0	0,01290519	0,44301814	0	0,09579518	0,02433469	0,16278778	0	39	22	126272015	N	below HCL	15,53	4,64083333	-4,28	14,88	7,14	102,43	1090,32	3,7872097	0	0	2	1	1	0	0	0	2	1	1	0	1	2	0	2	0	0	2	0	0	0	0	0	0	0	0,078	0,346
22	0,06847965	0,03498673	0	0	0,01492642	0,06873093	0	0,81016836	530	20	76143511,7	N	above HCL	3,78	0,31916667	-8,8	11,09	5,49	72,03	1007,78	3,05478061	1	0	2	2	0	0	1	1	2	1	1	0	1	1	0	2	0	0	0	0	0	0	0	3	0	2	0,367	0,012
23	0,00241109	0,10927054	0,42515545	0	0,04359757	0,13939149	0,12835561	0,07473578	361	22	88195854,3	N	above HCL	7,11	2,07416667	-8,1	13,4	7,18	27,81	749,43	5,63303831	2	2	3	1	0	0	2	0	2	1	1	0	1	2	0	1	0	0	0	3	0	0	0	0	0	0	0,244	0,078
25	0	0,04455856	0,43949179	0	0,10194155	0,10395155	0,23093387	0	355	22	90480769,5	N	above HCL	6,51	2,06	-8,14	13,42	7,09	29,12	853,51	4,73975718	1	1	2	2	1	0	2	1	2	1	2	0	1	3	0	1	0	0	0	3	0	0	0	0	0	0	0,136	0,083
26	0,08676092	0,04607372	0	0	0,01150092	0,03100711	0	0,82465733	530	20	45648505	N	above HCL	2,6	0,98416667	-8,3	11,88	6,18	67,5	965,37	1,76098085	1	1	2	2	0	0	1	1	2	2	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0,15	0,006
27	0,00727064	0,16960873	0,00397982	0	0,05855763	0,05277356	0,00070879	0,70710085	458	20	55121898,4	N	above HCL	4,7	-0,0991667	-10,4	11,56	5,75	31,59	674,09	1,72444882	0	1	0	3	2	0	0	0	2	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	3	0,204	0,03
28	0,00292952	0,02280863	0,00057493	0	0,00390134	0,06902247	0	0,90076311	556	20	45336991,7	N	above HCL	4,18	-1,1933333	-12,84	11,64	5,11	27,96	749,34	0,89780553	0	0	2	1	0	0	1	0	2	1	2	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0,28	0,023
29	0,00144636	0	0	0	0,0679219	0,1419628	0	0,78866894	672	20	60064400,5	N	above HCL	4,01	-1,6066667	-12,58	10,77	4,55	35,88	819,19	2,66252553	0	0	2	1	0	0	0	0	2	1	2	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0,202	0,03
30	0,02721889	0,00882238	0,00030039	0	0,06280929	0,0157538	0,00069131	0,8374793	514	20	102161800	N	above HCL	3,83	-0,4841667	-10,37	10,89	5,29	44,51	875,55	1,37019299	0	0	2	2	0	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0,255	0,015
31	0,00577865	0,11724294	0,24629449	0	0,03207399	0,10968037	0,05209281	0,42844943	435	20	40565623,2	N	above HCL	3,87	1,59	-7,7	12,46	6,55	42,84	1039,21	2,02849837	1	1	2	2	0	0	2	0	3	2	1	1	3	2	0	2	0	0	3	1	0	0	0	0	0	0	0,096	0,027
32	0	0,02161471	0,3835667	0	0,01015101	0,15274266	0,3261322	0	417	20	44946258,9	N	above HCL	6,55	1,84416667	-8,32	13,43	4,24	105,3	980,5	7,88817884	1	1	2	1	1	0	2	0	2	1	2	0	2	0	1	1	0	0	1	0	0	0	0	0	0	3	0,172	0,078
