sjoid	Acroloxus_lacustris	Aeshna_sp.	Aeshnidae_Gen._sp.	Agabus_sp.	Agapetus_sp.	Agraylea_sp.	Agrypnia_crassicornis	Agrypnia_sp.	Ameletus_inopinatus	Amphinemura_borealis	Amphinemura_sp.	Anabolia_sp.	Ancylus_fluviatilis	Anodonta_sp.	Apatania_sp.	Arcynopteryx_compacta	Argyroneta_aquatica	Asellus_aquaticus	Astacus_astacus	Athripsodes_aterrimus	Athripsodes_cinereus	Athripsodes_sp.	Baetidae_Gen._sp.	Baetis_rhodani	Baetis_sp.	Baetis_subalpinus	Bathyomphalus_contortus	Bithynia_leachii	Bithynia_tentaculata	Brachycera_Gen._sp.	Brachyptera_sp.	Brachytron_pratense	Caenis_horaria	Caenis_luctuosa	Caenis_rivulorum	Caenis_robusta	Caenis_sp.	Calopteryx_splendens	Calopteryx_virgo	Capnia_sp.	Capnopsis_schilleri	Centroptilum_luteolum	Ceraclea_alboguttata	Ceraclea_annulicornis	Ceraclea_nigronervosa	Ceraclea_sp.	Ceratopogonidae_Gen._sp.	Chaoborus_sp.	Cheumatopsyche_nevae	Chrysomelidae_Gen._sp.	Cloeon_dipterum	Cloeon_inscriptum	Coenagrion_sp.	Coenagrionidae_Gen._sp.	Colymbetes_sp.	Cordulegastridae_Gen._sp.	Cordulia_aenea	Corduliidae_Gen._sp.	Corixidae_Gen._sp.	Culicidae_Gen._sp.	Cyrnus_flavidus	Cyrnus_insolutus	Cyrnus_sp.	Cyrnus_trimaculatus	Dendrocoelidae_Gen._sp.	Dina_lineata	Diura_bicaudata	Diura_nanseni	Dolichopodidae_Gen._sp.	Dreissena_polymorpha	Dryops_sp.	Dytiscidae_Gen._sp.	Dytiscus_sp.	Ecnomus_tenellus	Elmidae_Gen._sp.	Elmis_aenea	Elodes_sp.	Empididae_Gen._sp.	Enallagma_cyathigerum	Ephemera_danica	Ephemera_sp.	Ephemera_vulgata	Ephemerella_aroni	Ephydridae_Gen._sp.	Erotesis_baltica	Erpobdella_octoculata	Erpobdella_testacea	Erpobdellidae_Gen._sp.	Erythromma_najas	Galba_truncatula	Gammarus_lacustris	Gammarus_pulex	Gammarus_sp.	Gerridae_Gen._sp.	Glossiphonia_complanata	Glossiphonia_sp.	Glossiphoniidae_Gen._sp.	Glyphotaelius_pellucidus	Goera_pilosa	Gomphidae_Gen._sp.	Gomphus_vulgatissimus	Gyraulus_acronicus	Gyraulus_albus	Gyraulus_crista	Gyraulus_laevis	Gyraulus_sp.	Gyrinidae_Gen._sp.	Gyrinus_sp.	Haemopis_sanguisuga	Halesus_sp.	Haliplidae_Gen._sp.	Helobdella_stagnalis	Helophorus_sp.	Hemiclepsis_marginata	Heptagenia_dalecarlica	Heptagenia_sulphurea	Heptageniidae_Gen._sp.	Hippeutis_complanatus	Holocentropus_dubius	Holocentropus_insignis	Holocentropus_picicornis	Holocentropus_sp.	Hydrachnidia_Gen._sp.	Hydraena_sp.	Hydrophilidae_Gen._sp.	Hydroporus_sp.	Hydropsyche_angustipennis	Hydropsyche_silfvenii	Hydropsyche_siltalai	Hydropsychidae_Gen._sp.	Hydroptila_sp.	Hydroptilidae_Gen._sp.	Hydrozoa_Gen._sp.	Hygrotus_sp.	Hyphydrus_sp.	Ilybius_sp.	Ischnura_sp.	Isoperla_obscura	Isoperla_sp.	Kageronia_fuscogrisea	Laccophilus_sp.	Lepidoptera_Gen._sp.	Lepidostoma_hirtum	Leptoceridae_Gen._sp.	Leptophlebia_sp.	Leptophlebiidae_Gen._sp.	Leucorrhinia_sp.	Leuctra_fusca	Leuctra_hippopus	Leuctra_nigra	Leuctra_sp.	Libellula_sp.	Libellulidae_Gen._sp.	Limnephilidae_Gen._sp.	Limnephilini_Gen._sp.	Limnephilus_sp.	Limnius_volckmari	Limoniidae_Gen._sp.	Lymnaea_sp.	Lymnaea_stagnalis	Lymnaeidae_Gen._sp.	Lype_phaeopa	Lype_reducta	Marstoniopsis_scholtzi	Metretopus_borealis	Micrasema_gelidum	Molanna_albicans	Molanna_angustata	Molannidae_Gen._sp.	Molannodes_tinctus	Muscidae_Gen._sp.	Mystacides_azurea	Mystacides_longicornis	Mystacides_nigra	Mystacides_sp.	Nebrioporus_sp.	Nematoda_Gen._sp.	Nemotaulius_punctatolineatus	Nemoura_avicularis	Nemoura_cinerea	Nemoura_sp.	Nemouridae_Gen._sp.	Nemurella_pictetii	Neureclipsis_bimaculata	Nigrobaetis_niger	Normandia_nitens	Noterus_sp.	Notonecta_sp.	Oecetis_ochracea	Oecetis_testacea	Oligochaeta_Gen._sp.	Oligostomis_reticulata	Oligotricha_sp.	Orectochilus_villosus	Oreodytes_sp.	Orthotrichia_sp.	Oulimnius_sp.	Oulimnius_troglodytes	Oulimnius_tuberculatus	Oxyethira_sp.	Pacifastacus_leniusculus	Pallasiola_quadrispinosa	Paraleptophlebia_sp.	Perlodidae_Gen._sp.	Phryganea_bipunctata	Phryganea_grandis	Phryganeidae_Gen._sp.	Physa_fontinalis	Piscicola_geometra	Pisidium_sp.	Planariidae_Gen._sp.	Planorbidae_Gen._sp.	Planorbis_sp.	Platambus_sp.	Plateumaris_sp.	Platycnemididae_Gen._sp.	Platycnemis_pennipes	Plectrocnemia_conspersa	Plectrocnemia_sp.	Polycentropodidae_Gen._sp.	Polycentropus_flavomaculatus	Polycentropus_irroratus	Polycentropus_sp.	Porhydrus_sp.	Potamophylax_sp.	Potamopyrgus_sp.	Procloeon_bifidum	Protonemura_meyeri	Psychodidae_Gen._sp.	Psychomyiidae_Gen._sp.	Pyrrhosoma_nymphula	Radix_balthica	Radix_labiata	Radix_sp.	Ranatra_linearis	Rhantus_sp.	Rhyacophila_fasciata	Rhyacophila_nubila	Rhyacophila_sp.	Riolus_cupreus	Sciomyzidae_Gen._sp.	Sericostoma_personatum	Setodes_argentipunctellus	Sialis_fuliginosa	Sialis_lutaria	Sialis_sp.	Simuliidae_Gen._sp.	Siphlonuridae_Gen._sp.	Siphlonurus_aestivalis	Siphlonurus_lacustris	Sisyra_sp.	Somatochlora_sp.	Sphaerium_sp.	Spongillidae_Gen._sp.	Stagnicola_sp.	Stictotarsus_sp.	Suphrodytes_sp.	Sympetrum_sp.	Tabanidae_Gen._sp.	Taeniopteryx_nebulosa	Theodoxus_fluviatilis	Tinodes_waeneri	Tipulidae_Gen._sp.	Triaenodes_sp.	Trichostegia_minor	Turbellaria_Gen._sp.	Valvata_cristata	Valvata_macrostoma	Valvata_piscinalis_ssp.	Valvatidae_Gen._sp.
615464-134175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	168	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	24	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0
616267-136857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	1	0	0	1	0	0	0	0	7	3	0	0	0	66	20	0	0	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
617666-135851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
620406-140165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	9	0	0	0	0	2	1	0	0	0	20	9	0	0	0	0	0	0	0	117	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	92	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	3	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	30	0	0	0	1	0	0	0	0
621669-141629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	1	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	22	0	0	29	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	43	0	0	0	0	0	51	2	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	27	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
622084-141784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	7	9	0	0	0	0	0	3	1	0	0	0	18	37	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0	1	3	0	0	0	6	17	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	21	0	0	3	0	17	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4	0	0	85	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	2	31	0	0	0	0	0	0	0	0
623811-137924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	2	1	0	0	0	0	0	1	0	0	0	8	70	0	0	0	0	0	0	0	64	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	38	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	105	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	2	0	0	6	0	0	7	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
624171-134831	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	127	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	28	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
624317-144658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
624398-148002	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	80	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	17	0	0	0	0	23	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
