sjoid	reference
615464-134175	0
616267-136857	0
617666-135851	0
620406-140165	0
621669-141629	0
622084-141784	0
623811-137924	0
624171-134831	1
624317-144658	0
624398-148002	0
624608-141939	0
624926-148106	0
624987-149315	0
625057-147491	0
625087-135232	0
625127-140425	0
625151-145877	0
625528-143879	0
626035-147648	0
626411-147094	0
626855-141154	0
627049-133420	0
627180-146143	0
627451-138444	0
629110-144602	0
629148-143516	0
630169-140881	0
630460-136269	0
630864-133991	0
631437-150432	0
631970-131592	0
631998-151730	0
632344-135447	0
632407-147945	0
632525-134351	0
632724-146694	0
632741-148388	0
632809-135505	0
633055-129591	0
633118-140608	0
633220-141387	0
633426-142203	0
633733-146253	0
633735-142369	0
634378-130353	0
634990-146556	0
635038-132125	0
635134-131336	0
635144-148040	0
635203-134484	0
635435-165645	0
635436-130093	0
636053-166363	0
636265-132373	0
636357-132014	0
636512-129668	0
636634-130566	0
636827-154947	1
636975-153631	1
636997-133114	0
637089-136183	0
637337-152682	0
637382-148784	1
637737-130471	0
637886-128777	0
638908-127974	0
638908-153082	0
638942-132993	0
639234-130459	0
639257-153826	0
639317-153375	0
639464-153632	0
639539-129743	0
639557-150056	0
639645-136455	0
639950-132256	0
640026-155109	0
640671-126655	0
640956-148285	0
640968-149647	0
641331-146452	0
641409-139581	0
641581-142224	0
641594-139754	0
641604-152890	0
641612-135077	1
641924-134708	1
642045-130054	0
642138-130063	0
642139-128492	0
642286-146871	0
642624-145744	0
642633-142169	0
642740-143390	1
642936-148398	0
643005-151860	0
643069-151404	0
643216-152492	0
643413-129803	0
643564-153999	1
643591-132677	1
643658-140130	0
644188-154523	0
644796-148751	0
645253-150918	0
645403-152909	0
646048-153793	0
646656-152643	0
646865-151588	0
647214-128393	0
647997-137444	0
648138-137420	0
648576-138365	1
648941-140991	0
649325-150540	0
649436-138900	0
649743-146165	0
651198-148522	0
651395-150644	0
651789-140827	0
652048-152610	0
653034-154584	0
653146-152979	0
653478-130455	0
653847-151668	0
653884-158250	0
653996-159527	0
654477-158611	0
654832-158701	0
655284-127984	0
655560-129532	0
655707-155934	0
655863-129783	1
656040-127852	0
656470-132005	0
656706-130519	0
657682-133493	0
657783-134113	0
658281-163532	0
658366-149508	0
658726-141614	0
658803-140708	0
659400-129774	0
659685-142167	0
660666-138102	0
661535-138127	0
661720-138068	0
661786-151195	0
662383-161313	0
662674-164394	0
662713-138014	0
662994-151936	0
663365-161779	0
663522-132175	0
663540-166895	0
663548-137982	0
663706-148178	0
663958-161511	0
664057-139358	0
664059-133765	0
664514-150024	0
664705-132381	0
665138-164175	0
665175-157559	0
665366-140318	0
665778-147308	0
666158-159878	0
666556-150149	0
666900-131954	0
667043-139241	0
667402-158923	0
667416-152024	1
667635-156451	0
668161-145410	0
668814-161417	0
668876-152219	0
668908-141999	0
669257-147690	0
669267-161021	0
669718-162946	0
670167-149419	1
670201-153251	0
671020-132971	0
671283-140715	0
671446-150748	0
672115-151968	0
672202-142207	1
672524-142493	0
672656-149876	0
672808-147249	0
672861-143236	0
673114-155404	0
673142-138082	0
673649-136631	0
674209-154140	0
674757-132306	0
675456-151970	0
675871-146725	0
677200-137506	1
678153-156427	0
678192-151677	0
678240-155811	0
678788-153934	0
679269-141346	0
679842-150107	0
679949-137086	0
679949-137127	0
680339-151046	0
680738-154657	0
682810-155405	0
683010-149833	0
683280-143983	0
683582-154935	0
684770-151044	1
685235-134211	0
685329-143202	0
685395-131485	0
685509-142256	0
685937-148363	0
686365-153560	0
686398-132122	0
686666-148593	0
686682-150949	0
686859-133710	0
686905-155821	0
687014-149086	0
687217-135801	0
687325-132983	0
687931-150527	0
688032-142039	0
688034-150119	0
688237-150604	0
688683-145712	0
688798-135245	0
689196-151284	0
689227-134200	0
689443-138392	0
690049-132683	1
690459-156769	0
690617-134197	1
691538-151557	0
691576-134819	0
693819-154276	0
694780-141419	0
695136-138807	0
695192-153208	0
695500-140553	0
695990-157190	0
696113-147388	1
696292-145809	1
697159-133702	0
697305-155906	0
697450-144681	0
697908-135354	0
698110-153041	0
698337-132949	0
699058-151580	0
699241-159461	0
699513-132228	0
699945-134923	1
700969-149301	0
701276-133538	1
701643-132013	0
701681-138253	0
701981-151221	0
702104-140376	0
702642-146667	0
704568-159775	0
704709-141393	0
705032-152373	0
705179-154330	0
706509-138302	0
707202-143252	0
707285-133091	0
708712-172291	0
709908-155361	0
710004-172451	0
710129-163259	0
710286-170468	0
710599-158381	0
710845-164240	0
710866-137595	0
710873-173988	1
711026-144687	1
711381-150545	0
711660-146357	0
711735-145847	0
711945-167290	0
711990-153625	0
712045-171319	0
712246-170866	0
712297-143977	0
712589-159893	0
712900-170410	1
713180-153188	0
714153-143721	0
714227-159350	0
714675-159793	0
715145-163794	1
715184-155979	1
715693-164308	0
715838-175558	0
716105-164776	0
716302-155212	0
716676-163530	0
716713-144276	1
717219-173630	1
717447-160633	1
717882-168338	0
717918-168192	1
718701-164026	1
718777-164670	0
719190-168246	0
719514-144292	0
720081-143652	0
720425-171505	0
720592-161946	1
720806-165354	0
721192-160760	0
721250-143248	0
721259-158851	0
721287-168338	1
721478-155016	0
722028-158427	1
722336-143119	0
722794-150684	1
722801-147977	1
723521-153330	1
723588-167568	0
724404-162447	0
724527-162175	0
724646-156686	0
724736-157114	0
725327-147881	0
725555-147186	0
725732-165900	1
726289-156919	1
726638-152206	0
726934-155885	0
727176-151437	1
727669-168951	1
727702-162834	1
727782-148680	0
727823-144457	0
727829-165676	0
728320-144453	0
728563-168179	1
728929-178203	1
729184-178553	1
729305-169047	0
729429-156192	1
729462-172866	0
729602-148992	0
729740-168822	1
729773-150703	0
729897-164126	1
729937-148765	0
730100-165077	0
730172-149388	0
730226-169348	0
730677-144695	1
731358-161437	0
731572-154065	0
731806-173782	1
732166-149452	0
732249-173845	1
732323-150318	0
733037-159366	0
733108-152349	0
733248-151014	0
733400-147246	0
