Vdr_Id	type
2	SS-NH
4	MS-NH
5	MS-NH
6	SS-NH
7	MS-NH
8	SS-NH
9	MS-NL
10	SS-NL
12	MS-NL
13	SS-NL
15	SS-NH
16	MS-NH
17	SS-NH
18	SS-NH
20	MS-NL
21	MS-NL
22	SS-NH
23	SS-NH
25	SS-NH
26	SI-NH
27	SI-NH
28	SI-NH
29	SS-NH
30	MI-NH
31	SS-NH
32	SS-NH
33	SS-NH
34	SS-NH
35	SI-NH
36	MS-NH
37	SS-NH
38	SS-NH
39	MS-NH
40	SS-NH
41	SS-NH
42	SS-NH
43	SS-NH
45	SI-NH
46	MS-NH
47	SI-NH
48	SS-NH
49	SS-NH
51	MS-NH
52	MS-NL
53	LI-NL
54	MS-NH
55	MI-NH
56	SS-NH
57	MS-NL
60	SS-NL
61	SS-NH
62	SS-NH
63	SS-NL
64	SS-NH
65	SS-NH
66	SF-NH
67	SS-NH
68	SS-NH
69	SI-NH
71	SS-NH
72	SS-NH
74	SS-NH
75	MS-NH
76	SI-NH
77	SS-NH
78	SI-NH
79	MI-NH
80	SS-NH
81	SS-NH
82	SS-NH
83	MS-NH
84	SS-NH
85	SS-NH
86	SS-NH
87	MS-NH
88	SS-NH
89	SS-NH
91	SS-NM
92	MI-NH
93	MI-NH
94	SS-NM
95	SI-NH
96	SS-NH
97	SI-NH
98	SS-NH
99	SI-NH
100	MS-NH
101	SI-NH
103	MS-NH
104	MS-NH
106	MS-NH
107	SS-NH
108	SS-NH
109	SS-NH
110	SS-NH
111	SS-NH
112	SS-NH
113	SI-NH
114	SI-NH
115	SI-NH
116	MS-NH
117	SS-NL
118	SS-NL
119	SS-NH
120	SS-NL
121	SI-NH
122	MS-NH
123	SS-NH
124	SS-NH
125	SS-NH
126	MS-NL
127	MS-NL
128	SS-NH
129	SS-NH
130	SS-NH
131	SS-NH
132	SS-NH
133	SS-NH
134	SS-NH
136	MS-NH
137	SS-NL
138	SS-NH
139	SS-NH
140	MS-NH
142	MS-NH
143	SS-NH
144	SS-NH
145	SS-NH
146	MS-NH
147	SS-NH
148	SS-NH
149	SS-NL
150	SS-NH
151	SS-NH
152	SS-NH
154	MS-NH
155	MI-NH
156	SS-NH
157	SS-NH
159	MS-NH
160	SS-NH
161	SS-NH
162	SS-NH
163	SS-NH
164	SS-NH
165	SS-NH
166	SS-NL
167	SS-NH
169	SS-NH
170	MS-NH
171	SS-NH
172	SI-NH
173	SS-NL
174	MS-NL
175	SS-NL
176	SS-NL
177	SS-NH
179	SS-NH
180	SS-NH
181	MS-NL
182	SS-NL
183	SS-NL
184	SS-NH
186	MS-NH
187	SI-NH
188	MS-NH
189	MS-NH
190	SS-NH
191	MS-NH
192	SS-NH
193	SS-NH
194	MI-NH
195	MS-NH
196	SS-NH
197	SI-NH
198	SI-NH
199	SS-NH
200	SS-NH
202	MS-NH
203	SS-NL
204	SS-NL
205	SS-NH
206	SS-NL
207	SS-NH
208	SS-NH
209	SS-NL
210	SS-NH
212	SS-NH
213	SS-NH
215	SS-NL
216	SS-NL
217	SS-NL
218	SS-NL
219	SS-NL
220	SS-NL
223	SS-NH
224	SS-NH
225	SS-SO
226	MI-SO
227	SS-SO
229	SS-SO
231	MI-NH
233	SS-NH
234	SS-NH
235	SS-NH
236	SS-NH
237	SS-NH
238	SS-NH
239	MS-NH
240	SS-NH
241	SS-NH
242	SS-NH
244	SS-NL
245	MS-NL
246	MS-NL
247	SS-SO
248	SS-SO
250	MS-SO
251	SS-SO
252	MS-NL
253	SI-NL
254	SS-NH
256	MS-NL
257	SS-NH
258	SS-NH
259	MS-SO
260	SS-SO
261	SS-NL
262	SS-NL
263	SS-NL
264	SS-NL
266	SS-NL
267	MS-NL
268	SS-NL
269	SS-NH
272	SS-NL
273	SS-NL
274	SS-NL
275	SS-NL
276	SS-NL
278	SS-NH
279	SS-NL
280	MS-NL
281	SS-NH
282	SS-NL
283	SS-NL
284	SS-SO
285	SS-NL
288	SI-SO
289	SS-SO
291	SS-SO
292	SS-SO
293	SS-SO
294	SS-NL
296	SS-NL
297	SS-NL
298	SS-NL
299	SS-NL
300	SS-NL
301	SS-NH
302	MS-NH
303	SS-NH
306	SS-NH
307	SS-NH
308	SS-NH
309	SS-NL
310	SS-NH
312	SS-NL
316	SS-NL
318	SS-NL
319	SS-NL
320	SS-SO
321	SS-SO
322	SS-SO
323	SS-SO
324	SS-SO
325	SS-SO
326	SS-NH
327	SS-NH
328	SS-NL
331	SS-NL
332	SS-SO
333	SS-SO
334	MS-NL
335	SS-NH
340	SS-NM
341	MS-SO
342	SS-NL
344	SS-NL
347	SI-NL
350	SS-SO
351	SS-NL
353	SS-SO
355	SS-SO
356	SS-SO
357	MS-SO
358	SS-SO
359	SS-SO
362	SS-NL
367	SS-NL
368	SS-NH
369	SS-NL
370	MS-NL
371	SS-NH
372	SS-SO
374	MS-NL
375	SS-NL
377	SS-SO
378	SS-SO
382	SS-NH
384	SS-SO
386	SS-SO
387	SS-NH
388	SS-NH
389	MS-NL
390	SS-NL
391	MS-NL
393	MS-SO
394	SS-SO
395	SI-SO
397	SS-SO
401	SS-NL
402	SS-NL
403	MS-NL
404	SS-NL
405	SS-NL
407	SS-SO
409	SS-SO
410	SS-SO
411	SS-SO
412	SS-SO
414	SS-SO
415	SS-SO
416	SS-SO
417	SS-SO
418	SS-SO
419	SS-SO
420	SS-SO
421	SS-NL
422	SS-NH
423	SS-NH
424	SS-NH
425	MS-NH
426	MS-NH
427	SS-SO
431	SS-SO
432	MS-NH
433	SS-NH
434	SS-NH
437	SS-SO
438	SI-SO
439	SS-SO
441	SS-SO
442	MS-SO
443	SS-SO
444	SS-SO
445	SS-SO
451	SS-SO
452	SS-SO
454	SS-NH
455	SS-NH
456	SS-NH
457	SS-NL
458	SS-SO
459	SS-SO
460	MS-SO
461	SS-SO
462	MS-SO
465	SS-SO
466	SS-SO
467	SS-SO
468	SS-SO
469	SS-SO
470	SS-SO
471	SS-SO
472	SS-SO
473	SS-SO
474	SS-SO
475	SS-SO
476	SS-SO
477	MS-SO
481	SS-NH
482	SS-SO
483	SS-SO
484	SI-SO
485	SS-SO
487	SS-NL
488	SS-NL
489	SS-SO
490	SS-SO
491	SS-SO
492	SS-SO
493	SS-SO
494	SS-SO
495	MS-SO
496	SS-SO
497	MS-SO
498	SS-SO
499	SS-SO
500	SI-SO
501	SS-SO
503	SS-SO
504	SS-NH
506	SS-NL
507	SS-NL
508	MS-NH
509	MS-NL
510	SS-NL
511	SS-NL
512	SS-NL
513	SS-NH
514	SS-NL
515	SS-NL
516	SS-NH
517	SS-NH
518	SS-NL
519	SS-NL
520	SS-NH
521	MS-NL
522	SS-NL
524	SS-NL
525	SS-NL
526	SS-NH
529	SS-NL
530	SS-SO
531	SS-NH
532	SS-NH
533	SS-NH
534	SS-NH
535	MS-NH
536	SS-SO
537	SS-SO
538	SS-SO
539	SS-SO
540	SS-SO
542	MS-SO
544	SS-SO
546	SS-SO
547	SS-SO
548	SS-SO
549	SS-SO
550	SS-SO
551	SS-SO
552	SS-SO
554	SS-SO
555	SS-SO
558	SS-NL
559	SS-SO
562	SS-SO
563	SS-SO
566	SS-SO
567	SS-SO
568	SS-SO
569	SS-SO
570	SS-SO
572	MS-SO
580	SS-SO
581	SS-SO
582	SS-SO
583	SS-SO
584	SS-SO
585	SS-SO
587	SS-SO
589	SS-SO
590	SS-NH
591	SS-NL
592	MS-NL
593	SS-NL
594	SS-NL
595	SS-NL
596	SS-NL
597	SS-NH
598	SS-NH
599	MS-NL
602	SS-SO
605	SS-SO
611	SS-SO
612	SS-SO
613	MS-SO
614	SS-SO
616	SS-SO
620	SS-SO
621	SS-SO
622	SS-SO
627	SS-SO
628	SS-SO
629	SI-SO
630	SS-SO
631	MS-SO
633	SS-SO
636	MS-SO
637	SS-SO
638	SS-SO
639	SS-SO
640	SS-SO
645	SS-SO
647	SS-SO
651	SS-SO
652	SS-SO
653	SS-SO
655	SS-SO
656	SS-SO
658	SS-SO
659	SS-SO
660	SS-SO
662	SI-SO
664	MS-SO
666	SS-SO
667	SS-SO
669	SS-SO
671	SS-SO
673	MS-SO
675	SS-SO
677	SS-SO
678	SS-SO
679	SS-SO
680	SS-SO
681	SS-SO
683	SS-SO
684	SS-SO
685	MS-SO
686	SS-SO
687	SS-SO
689	SS-SO
690	MS-SO
691	SS-SO
692	SS-SO
694	SS-SO
697	MS-SO
698	SS-SO
699	MS-SO
700	SS-SO
701	SS-SO
702	SS-SO
707	SS-SO
709	SS-SO
710	MS-SO
714	SS-SO
716	MS-SO
726	MI-SO
