sjoid	SystemA
615464-134175	14-LVM-organic
616267-136857	14-LSM-organic
617666-135851	14-LSL-calcareous
620406-140165	14-LVL-organic
621669-141629	14-LSL-organic
622084-141784	14-LSM-calcareous
623811-137924	14-LSM-siliceous
624171-134831	14-LVS-organic
624317-144658	14-LSS-calcareous
624398-148002	14-LSS-organic
624608-141939	14-LSS-organic
624926-148106	14-LSM-organic
624987-149315	14-LVS-organic
625057-147491	14-LSM-siliceous
625087-135232	14-LVS-organic
625127-140425	14-LVS-organic
625151-145877	14-LVS-organic
625528-143879	14-LVS-organic
626035-147648	14-LSS-organic
626411-147094	14-LVM-organic
626855-141154	14-LVL-organic
627049-133420	14-LSS-calcareous
627180-146143	14-LSM-organic
627451-138444	14-LVM-organic
629110-144602	14-LVM-organic
629148-143516	14-LSM-organic
630169-140881	14-LSS-organic
630460-136269	14-LSS-organic
630864-133991	14-LSS-organic
631437-150432	14-LSS-organic
631970-131592	14-LSS-organic
631998-151730	14-LVS-organic
632344-135447	14-LSS-organic
632407-147945	14-MVS-organic
632525-134351	14-LVS-organic
632724-146694	14-MSS-organic
632741-148388	14-MVM-organic
632809-135505	14-LVS-organic
633055-129591	14-LSS-organic
633118-140608	14-LSM-organic
633220-141387	14-LSS-organic
633426-142203	14-MSS-organic
633733-146253	14-MSS-organic
633735-142369	14-MSS-organic
634378-130353	14-LDM-organic
634990-146556	14-MSS-organic
635038-132125	14-LVS-organic
635134-131336	14-LSS-organic
635144-148040	14-LVS-organic
635203-134484	14-LSS-organic
635435-165645	14-LSS-calcareous
635436-130093	14-LSS-calcareous
636053-166363	14-LSS-calcareous
636265-132373	14-LSS-organic
636357-132014	14-LSS-organic
636512-129668	14-LSM-organic
636634-130566	14-LSS-organic
636827-154947	14-LVS-organic
636975-153631	14-LVS-organic
636997-133114	14-LSS-organic
637089-136183	14-MSS-organic
637337-152682	14-LSS-organic
637382-148784	14-LSM-organic
637737-130471	14-LSS-organic
637886-128777	14-LDL-organic
638908-127974	14-LSS-organic
638908-153082	14-LSM-organic
638942-132993	14-LSS-organic
639234-130459	14-LSS-organic
639257-153826	14-LVS-organic
639317-153375	14-LSS-organic
639464-153632	14-LSS-organic
639539-129743	14-LVS-organic
639557-150056	14-LSS-organic
639645-136455	14-MSS-organic
639950-132256	14-LSM-organic
640026-155109	14-LSS-organic
640671-126655	14-LSS-organic
640956-148285	14-LSS-organic
640968-149647	14-LSM-organic
641331-146452	14-LSL-calcareous
641409-139581	14-MSS-organic
641581-142224	14-MSM-organic
641594-139754	14-LSS-organic
641604-152890	14-LSS-organic
641612-135077	14-LVM-organic
641924-134708	14-MVS-organic
642045-130054	14-LVS-organic
642138-130063	14-LDL-organic
642139-128492	14-LSS-calcareous
642286-146871	14-LSS-organic
642624-145744	14-LSS-organic
642633-142169	14-LSM-calcareous
642740-143390	14-MSM-calcareous
642936-148398	14-LSM-calcareous
643005-151860	14-LSS-organic
643069-151404	14-LSS-siliceous
643216-152492	14-LSM-organic
643413-129803	14-LSS-organic
643564-153999	14-LSM-calcareous
643591-132677	14-LVM-organic
643658-140130	14-MSS-organic
644188-154523	14-LSM-organic
644796-148751	14-LSS-organic
645253-150918	14-LSS-organic
645403-152909	14-LSS-organic
646048-153793	14-LSS-organic
646656-152643	14-LSS-organic
646865-151588	14-LSS-organic
647214-128393	14-LVS-organic
647997-137444	14-LSS-calcareous
648138-137420	14-LSS-calcareous
648576-138365	14-MSS-organic
648941-140991	14-LSL-organic
649325-150540	14-LSS-organic
649436-138900	14-LVM-organic
649743-146165	14-LSS-organic
651198-148522	14-LSM-organic
651395-150644	14-LSS-organic
651789-140827	14-LVS-organic
652048-152610	14-LSM-organic
653034-154584	14-LSL-calcareous
653146-152979	14-LSS-organic
653478-130455	14-LSS-organic
653847-151668	14-LVM-organic
653884-158250	14-LSS-organic
653996-159527	14-LSS-organic
654477-158611	14-LSS-organic
654832-158701	14-LVM-organic
655284-127984	14-LDS-organic
655560-129532	14-MSS-organic
655707-155934	14-LSS-organic
655863-129783	14-LSM-siliceous
656040-127852	14-LSS-organic
656470-132005	14-LSM-organic
656706-130519	14-LSS-organic
657682-133493	14-LSS-organic
657783-134113	14-LSS-organic
658281-163532	14-LSS-calcareous
658366-149508	14-LSM-organic
658726-141614	14-LSL-organic
658803-140708	14-LSS-organic
659400-129774	14-LSM-organic
659685-142167	14-LSS-organic
660666-138102	14-LSM-organic
661535-138127	14-LSS-organic
661720-138068	14-LSM-organic
661786-151195	14-LSS-organic
662383-161313	14-LSM-calcareous
662674-164394	14-LSM-organic
662713-138014	14-LSM-organic
662994-151936	14-LVM-organic
663365-161779	14-LSS-organic
663522-132175	14-LSS-organic
663540-166895	14-LSS-organic
663548-137982	14-LSM-organic
663706-148178	14-LSS-organic
663958-161511	14-LVM-organic
664057-139358	14-MSS-organic
664059-133765	14-LSS-organic
664514-150024	14-LSS-organic
664705-132381	14-MSS-organic
665138-164175	14-LSM-organic
665175-157559	14-LSS-organic
665366-140318	14-MSM-organic
665778-147308	14-LSS-siliceous
666158-159878	14-LSM-calcareous
666556-150149	22-LSM-organic
666900-131954	22-MSS-organic
667043-139241	22-MSM-organic
667402-158923	14-LVL-organic
667416-152024	22-LSM-organic
667635-156451	14-LVM-organic
668161-145410	22-LSM-organic
668814-161417	14-LVS-organic
668876-152219	22-LSS-organic
668908-141999	22-MSS-organic
669257-147690	22-MSS-organic
669267-161021	14-LVM-organic
669718-162946	14-LSM-organic
670167-149419	22-LSS-organic
670201-153251	22-LSS-organic
671020-132971	22-MSS-organic
671283-140715	22-MSS-organic
671446-150748	22-MSM-organic
672115-151968	22-LSS-organic
672202-142207	22-MSM-siliceous
672524-142493	22-MSS-organic
672656-149876	22-LVM-organic
672808-147249	22-MSS-organic
672861-143236	22-MSM-organic
673114-155404	22-LVS-organic
673142-138082	22-MSS-organic
673649-136631	22-MVM-organic
674209-154140	22-MSS-organic
674757-132306	20-MSM-organic
675456-151970	22-MSS-organic
675871-146725	22-LSS-organic
677200-137506	20-MVM-organic
678153-156427	22-LSM-siliceous
678192-151677	22-MSS-organic
678240-155811	22-LSS-organic
678788-153934	22-LSM-organic
679269-141346	22-MSS-siliceous
679842-150107	22-MSS-organic
679949-137086	22-MSS-organic
679949-137127	22-MSS-organic
680339-151046	22-LVM-organic
680738-154657	22-LSS-siliceous
682810-155405	22-LSM-siliceous
683010-149833	22-MSM-organic
683280-143983	20-MSS-organic
683582-154935	22-MSS-organic
684770-151044	22-MSS-organic
685235-134211	20-MSS-organic
685329-143202	20-MSS-organic
685395-131485	20-MSS-organic
685509-142256	20-MSM-siliceous
685937-148363	22-MSM-organic
686365-153560	22-LSS-organic
686398-132122	20-MSS-organic
686666-148593	22-MSS-organic
686682-150949	22-MSS-organic
686859-133710	20-MSS-siliceous
686905-155821	22-LSS-siliceous
687014-149086	22-MSM-organic
687217-135801	20-MSS-organic
687325-132983	20-MSS-organic
687931-150527	22-MSL-organic
688032-142039	22-MSL-organic
688034-150119	22-MSS-organic
688237-150604	22-MSS-organic
688683-145712	22-MVM-organic
688798-135245	20-MSS-siliceous
689196-151284	22-MSS-organic
689227-134200	20-MVM-organic
689443-138392	20-HSS-siliceous
690049-132683	20-MSS-siliceous
690459-156769	22-LSM-organic
690617-134197	20-MSS-organic
691538-151557	22-MSM-organic
691576-134819	20-MSS-calcareous
693819-154276	22-MSM-organic
694780-141419	20-MSL-calcareous
695136-138807	20-MSS-organic
695192-153208	22-MSL-organic
695500-140553	20-MSS-calcareous
695990-157190	22-MSL-organic
696113-147388	22-MSS-organic
696292-145809	22-MSM-organic
697159-133702	20-HSM-calcareous
697305-155906	22-MSM-organic
697450-144681	22-MSS-organic
697908-135354	20-HSS-siliceous
698110-153041	22-MSS-organic
698337-132949	20-HSS-siliceous
699058-151580	22-MSM-organic
699241-159461	22-LSM-organic
699513-132228	20-HSS-siliceous
699945-134923	20-HSS-siliceous
700969-149301	22-MSM-calcareous
701276-133538	20-HSS-siliceous
701643-132013	20-HSS-siliceous
701681-138253	20-MSS-organic
701981-151221	22-MSS-organic
702104-140376	22-MSS-organic
702642-146667	22-MSS-calcareous
704568-159775	22-LSS-organic
704709-141393	22-MSS-organic
705032-152373	22-MSM-organic
705179-154330	22-MSM-organic
706509-138302	20-MSM-organic
707202-143252	22-MSS-organic
707285-133091	20-MSS-organic
708712-172291	22-LSM-organic
709908-155361	22-MSS-organic
710004-172451	22-LSM-organic
710129-163259	22-MSS-organic
710286-170468	22-LSS-organic
710599-158381	22-MSS-organic
710845-164240	22-MSS-organic
710866-137595	20-HSS-siliceous
710873-173988	22-LSS-organic
711026-144687	20-MSS-siliceous
711381-150545	22-MDXL-calcareous
711660-146357	22-MSS-siliceous
711735-145847	20-MSS-organic
711945-167290	22-LSM-organic
711990-153625	22-MSS-organic
712045-171319	22-LSM-organic
712246-170866	22-MSS-organic
712297-143977	20-MSS-siliceous
712589-159893	22-MSS-organic
712900-170410	22-MSM-organic
713180-153188	22-MSS-organic
714153-143721	20-MSS-organic
714227-159350	22-MSS-organic
714675-159793	22-MSS-organic
715145-163794	22-MSS-organic
715184-155979	22-MSM-organic
715693-164308	22-MSS-organic
715838-175558	22-LVM-organic
716105-164776	22-MSS-organic
716302-155212	22-MSS-organic
716676-163530	22-MSS-organic
716713-144276	20-MSS-calcareous
717219-173630	22-LSS-organic
717447-160633	22-MSS-organic
717882-168338	22-MSS-organic
717918-168192	22-MSM-organic
718701-164026	22-MSS-organic
718777-164670	22-MSS-organic
719190-168246	22-MSS-organic
719514-144292	20-HSS-siliceous
720081-143652	20-MSM-calcareous
720425-171505	22-MSS-organic
720592-161946	22-MSM-organic
720806-165354	22-MSS-organic
721192-160760	22-MSS-organic
721250-143248	20-MSS-calcareous
721259-158851	22-MSS-organic
721287-168338	22-MSS-organic
721478-155016	20-MSS-organic
722028-158427	22-MSM-organic
722336-143119	20-HSS-calcareous
722794-150684	20-MSM-organic
722801-147977	20-HSS-siliceous
723521-153330	20-MSS-siliceous
723588-167568	22-MSS-organic
724404-162447	22-MSS-organic
724527-162175	22-MSS-organic
724646-156686	20-MSM-siliceous
724736-157114	20-MSL-organic
725327-147881	20-MSS-calcareous
725555-147186	20-MSS-siliceous
725732-165900	22-MSM-organic
726289-156919	22-MSS-organic
726638-152206	20-MSS-organic
726934-155885	22-MSS-siliceous
727176-151437	20-MDL-siliceous
727669-168951	22-MSS-calcareous
727702-162834	22-MSS-organic
727782-148680	20-MDL-calcareous
727823-144457	20-HSS-calcareous
727829-165676	22-MSS-siliceous
728320-144453	20-MSS-calcareous
728563-168179	22-MSM-organic
728929-178203	22-LSM-organic
729184-178553	22-LVL-siliceous
729305-169047	22-MSS-organic
729429-156192	22-MSS-calcareous
729462-172866	22-LSS-organic
729602-148992	20-MSM-calcareous
729740-168822	22-MSS-organic
729773-150703	20-MSS-calcareous
729897-164126	22-MSM-organic
729937-148765	20-MSS-siliceous
730100-165077	22-MSS-organic
730172-149388	20-MSS-calcareous
730226-169348	22-MSS-organic
730677-144695	20-MSS-calcareous
731358-161437	20-MSS-siliceous
731572-154065	20-MSS-siliceous
731806-173782	22-LSM-organic
732166-149452	20-HSS-siliceous
732249-173845	22-LSS-organic
732323-150318	20-HSS-calcareous
733037-159366	20-MDXL-siliceous
733108-152349	20-HSS-siliceous
733248-151014	20-HSS-calcareous
733400-147246	20-HSS-calcareous
733442-165419	22-MSS-organic
733803-150490	20-HSS-siliceous
734044-181939	22-LVL-organic
734542-168549	22-MSS-siliceous
734602-160719	20-MSM-siliceous
734639-160490	20-MSS-siliceous
734718-161405	20-MSM-organic
735124-148207	20-MSS-calcareous
735745-154454	20-MSS-calcareous
735768-167229	22-MSS-siliceous
736048-156613	20-MSS-organic
736385-157849	20-MSS-organic
736509-162249	20-MSS-siliceous
736602-182125	22-LSS-organic
736695-152713	20-HSS-calcareous
736804-160569	20-MSS-siliceous
736869-151062	20-MSS-calcareous
737117-170784	22-MSS-organic
738018-183471	22-LSS-siliceous
738062-164839	20-MSS-organic
738201-155031	20-HSS-siliceous
738568-157402	20-MSS-siliceous
738588-161632	20-MSS-siliceous
738681-168003	22-MSM-siliceous
739725-152883	20-HSS-siliceous
739906-153888	20-MSS-siliceous
740129-178505	22-LSS-organic
740341-152679	20-HSS-siliceous
740431-164231	22-MSS-siliceous
740482-159154	20-MSS-siliceous
740665-160463	20-MSS-organic
740763-151804	20-HSS-siliceous
741014-160285	20-MSL-siliceous
741039-160467	20-MSM-siliceous
741316-155387	20-MSM-siliceous
741522-153621	20-HSS-siliceous
741692-152638	20-MSM-siliceous
741699-159012	20-MSS-siliceous
741824-164928	22-MSS-siliceous
741874-185464	22-LSM-organic
742077-163515	22-MSS-organic
742098-153959	20-MSM-calcareous
742230-161634	20-MSS-siliceous
742454-177230	22-LSM-organic
742674-163890	20-MSS-siliceous
745109-174386	22-MSS-siliceous
746803-183369	22-LSS-organic
747797-162129	20-MSS-siliceous
747930-159876	20-MSM-siliceous
748366-160545	20-MSM-siliceous
748810-155858	20-MSS-calcareous
748932-159813	20-HSS-siliceous
749152-152761	20-MSS-calcareous
749280-171355	20-MSS-organic
749981-158140	20-MSS-siliceous
750148-155902	20-MSS-calcareous
750307-157723	20-MSS-organic
750490-169401	20-MSS-organic
750559-163642	20-MSL-siliceous
750645-179064	22-MSS-siliceous
750847-172820	22-MVS-organic
751027-168670	20-MSS-organic
751460-153820	20-MSM-siliceous
751706-171452	22-MSS-organic
751794-159846	20-HSS-siliceous
752350-171516	22-MSS-organic
752541-157829	20-MSS-calcareous
752586-171655	22-MSS-organic
752589-169047	20-MSS-siliceous
752665-154428	20-MSS-siliceous
752991-178172	22-MSS-organic
753244-158542	20-HSS-calcareous
753762-167100	20-MSM-siliceous
