Vdr_Id	SystemA
2	22-HS-organic
4	22-HM-organic
5	22-HM-organic
6	22-HS-organic
7	22-HM-organic
8	20-HS-organic
9	22-LM-organic
10	22-LS-organic
12	22-LM-organic
13	22-LS-organic
15	22-HS-organic
16	22-HM-organic
17	22-HS-organic
18	22-HS-organic
20	22-LM-organic
21	22-LM-organic
22	20-HS-calcareous
23	22-HS-organic
25	22-HS-organic
26	20-HS-siliceous
27	20-HS-calcareous
28	20-HS-calcareous
29	20-HS-calcareous
30	20-HM-calcareous
31	20-HS-siliceous
32	20-HS-organic
33	20-HS-calcareous
34	20-HS-siliceous
35	20-HS-siliceous
36	20-HM-organic
37	22-HS-organic
38	22-HS-organic
39	22-HM-organic
40	22-HS-organic
41	22-HS-organic
42	20-HS-calcareous
43	20-HS-siliceous
45	20-HS-calcareous
46	20-HM-siliceous
47	20-HS-organic
48	20-HS-siliceous
49	20-HS-organic
51	20-HM-siliceous
52	22-LM-organic
53	22-LL-organic
54	22-HM-organic
55	22-HM-organic
56	22-HS-organic
57	22-LM-organic
60	22-LS-organic
61	22-HS-organic
62	22-HS-organic
63	22-LS-organic
64	20-HS-siliceous
65	20-HS-siliceous
66	20-HS-siliceous
67	20-HS-siliceous
68	20-HS-siliceous
69	20-HS-siliceous
71	20-HS-siliceous
72	22-HS-organic
74	20-HS-calcareous
75	20-HM-siliceous
76	20-HS-siliceous
77	20-HS-siliceous
78	20-HS-siliceous
79	20-HM-siliceous
80	20-HS-siliceous
81	20-HS-calcareous
82	20-HS-organic
83	20-HM-organic
84	20-HS-organic
85	20-HS-siliceous
86	20-HS-organic
87	20-HM-siliceous
88	20-HS-siliceous
89	20-HS-organic
91	20-MS-siliceous
92	20-HM-siliceous
93	20-HM-calcareous
94	20-MS-siliceous
95	20-HS-siliceous
96	20-HS-siliceous
97	20-HS-siliceous
98	20-HS-calcareous
99	20-HS-calcareous
100	20-HM-calcareous
101	20-HS-calcareous
103	20-HM-organic
104	20-HM-organic
106	22-HM-siliceous
107	20-HS-organic
108	20-HS-organic
109	20-HS-organic
110	22-HS-siliceous
111	20-HS-organic
