sjoid	type
615464-134175	SO-VCH
616267-136857	SO-SCH
617666-135851	SO-SCC
620406-140165	SO-VSH
621669-141629	SO-SSH
622084-141784	SO-SCC
623811-137924	SO-SSC
624171-134831	SO-VSH
624317-144658	SO-SSC
624398-148002	SO-SSH
624608-141939	SO-SSH
624926-148106	SO-SSH
624987-149315	SO-VSH
625057-147491	SO-SSC
625087-135232	SO-VSH
625127-140425	SO-VSH
625151-145877	SO-VSH
625528-143879	SO-VSH
626035-147648	SO-SSH
626411-147094	SO-VSH
626855-141154	SO-VSH
627049-133420	SO-SSC
627180-146143	SO-SSH
627451-138444	SO-VSH
629110-144602	SO-VSH
629148-143516	SO-SSH
630169-140881	SO-SSH
630460-136269	SO-SSH
630864-133991	SO-SSH
631437-150432	SO-SSH
631970-131592	SO-SSH
631998-151730	SO-VSH
632344-135447	SO-SSH
632407-147945	SO-VSH
632525-134351	SO-VSH
632724-146694	SO-SSH
632741-148388	SO-VSH
632809-135505	SO-VSH
633055-129591	SO-SSH
633118-140608	SO-SSH
633220-141387	SO-SSH
633426-142203	SO-SSH
633733-146253	SO-SSH
633735-142369	SO-SSH
634378-130353	SO-DSH
634990-146556	SO-SSH
635038-132125	SO-VSH
635134-131336	SO-SSH
635144-148040	SO-VSH
635203-134484	SO-SSH
635435-165645	SO-SCH
635436-130093	SO-SSC
636053-166363	SO-SCC
636265-132373	SO-SSH
636357-132014	SO-SSH
636512-129668	SO-SSH
636634-130566	SO-SSH
636827-154947	SO-VSH
636975-153631	SO-VSH
636997-133114	SO-SSH
637089-136183	SO-SSH
637337-152682	SO-SSH
637382-148784	SO-SSH
637737-130471	SO-SSH
637886-128777	SO-DSH
638908-127974	SO-SSH
638908-153082	SO-SSH
638942-132993	SO-SSH
639234-130459	SO-SSH
639257-153826	SO-VSH
639317-153375	SO-SSH
639464-153632	SO-SSH
639539-129743	SO-VSH
639557-150056	SO-SSH
639645-136455	SO-SSH
639950-132256	SO-SSH
640026-155109	SO-SSH
640671-126655	SO-SSH
640956-148285	SO-SSH
640968-149647	SO-SSH
641331-146452	SO-SSC
641409-139581	SO-SSH
641581-142224	SO-SSH
641594-139754	SO-SSH
641604-152890	SO-SSH
641612-135077	SO-VSH
641924-134708	SO-VSH
642045-130054	SO-VSH
642138-130063	SO-DSH
642139-128492	SO-SSC
642286-146871	SO-SSH
642624-145744	SO-SCH
642633-142169	SO-SSC
642740-143390	SO-SSC
642936-148398	SO-SSH
643005-151860	SO-SSH
643069-151404	SO-SSC
643216-152492	SO-SSH
643413-129803	SO-SSH
643564-153999	SO-SSC
643591-132677	SO-VSH
643658-140130	SO-SSH
644188-154523	SO-SSH
644796-148751	SO-SSH
645253-150918	SO-SSH
645403-152909	SO-SSH
646048-153793	SO-SSH
646656-152643	SO-SSH
646865-151588	SO-SSH
647214-128393	SO-VSH
647997-137444	SO-SCC
648138-137420	SO-SCC
648576-138365	SO-SSH
648941-140991	SO-SSH
649325-150540	SO-SSH
649436-138900	SO-VSH
649743-146165	SO-SSH
651198-148522	SO-SSH
651395-150644	SO-SSH
651789-140827	SO-VSH
652048-152610	SO-SSH
653034-154584	SO-SSH
653146-152979	SO-SCH
653478-130455	SO-SSH
653847-151668	SO-VSH
653884-158250	SO-SSH
653996-159527	SO-SSH
654477-158611	SO-SSH
654832-158701	SO-VSH
655284-127984	SO-DSH
655560-129532	SO-SSH
655707-155934	SO-SSH
655863-129783	SO-SSC
656040-127852	SO-SSH
656470-132005	SO-SSH
656706-130519	SO-SSH
657682-133493	SO-SSH
657783-134113	SO-SSH
658281-163532	SO-SCC
658366-149508	SO-SSH
658726-141614	NL-SSH
658803-140708	NL-SSH
659400-129774	NL-SSH
659685-142167	NL-SSH
660666-138102	NL-SSH
661535-138127	NL-SSH
661720-138068	NL-SSH
661786-151195	SO-SSH
662383-161313	SO-SCC
662674-164394	SO-SCH
662713-138014	NL-SSH
662994-151936	SO-VSH
663365-161779	SO-SSH
663522-132175	NL-SSH
663540-166895	SO-SSH
663548-137982	NL-SSH
663706-148178	NL-SSH
663958-161511	SO-VCH
664057-139358	NL-SSH
664059-133765	NL-SSH
664514-150024	NL-SSH
664705-132381	NL-SSH
665138-164175	SO-SSH
665175-157559	SO-SSH
665366-140318	NL-SSH
665778-147308	NL-SSC
666158-159878	SO-SCC
666556-150149	NL-SSH
666900-131954	NL-SSH
667043-139241	NL-SSH
667402-158923	SO-VCH
667416-152024	NL-SSH
667635-156451	SO-VSH
668161-145410	NL-SSH
668814-161417	SO-VSH
668876-152219	NL-SSH
668908-141999	NL-SSH
669257-147690	NL-SSH
669267-161021	SO-VSH
669718-162946	SO-SCH
670167-149419	NL-SSH
670201-153251	NL-SSH
671020-132971	NL-SSH
671283-140715	NL-SSH
671446-150748	NL-SSH
672115-151968	NL-SSH
672202-142207	NL-SSC
672524-142493	NL-SSH
672656-149876	NL-VSH
672808-147249	NL-SSH
672861-143236	NL-SSH
673114-155404	NL-VSH
673142-138082	NL-SSH
673649-136631	NL-VSH
674209-154140	NL-SSH
674757-132306	NL-SSH
675456-151970	NL-SSH
675871-146725	NL-SCH
677200-137506	NL-VSH
678153-156427	NL-SSC
678192-151677	NL-SSH
678240-155811	NL-SSH
678788-153934	NL-SSH
679269-141346	NL-SSC
679842-150107	NL-SSH
679949-137086	NL-SSH
679949-137127	NL-SSH
680339-151046	NL-VSH
680738-154657	NL-SSC
682810-155405	NL-SSC
683010-149833	NL-SSH
683280-143983	NL-SSH
683582-154935	NL-SSH
684770-151044	NL-SSH
685235-134211	NL-SSH
685329-143202	NL-SSH
685395-131485	NL-SSH
685509-142256	NL-SSC
685937-148363	NL-SSH
686365-153560	NL-SSH
686398-132122	NL-SSH
686666-148593	NL-SSH
686682-150949	NL-SSH
686859-133710	NL-SSC
686905-155821	NL-SSC
687014-149086	NL-SSH
687217-135801	NL-SSH
687325-132983	NL-SSH
687931-150527	NL-SSH
688032-142039	NL-SSH
688034-150119	NL-SSH
688237-150604	NL-SSH
688683-145712	NL-VSH
688798-135245	NL-SSC
689196-151284	NL-SSH
689227-134200	NL-VSH
689443-138392	NM-SSC
690049-132683	NL-SSC
690459-156769	NL-SSH
690617-134197	NL-SSH
691538-151557	NL-SSH
691576-134819	NL-SSC
693819-154276	NL-SSH
694780-141419	NL-SSC
695136-138807	NL-SSH
695192-153208	NL-SSH
695500-140553	NL-SSC
695990-157190	NL-SSH
696113-147388	NL-SSH
696292-145809	NL-SSH
697159-133702	NM-SSC
697305-155906	NL-SSH
697450-144681	NL-SSH
697908-135354	NM-SSC
698110-153041	NL-SSH
698337-132949	NM-SSC
699058-151580	NL-SSH
699241-159461	NL-SSH
699513-132228	NM-SSC
699945-134923	NM-SSC
700969-149301	NL-SCC
701276-133538	NM-SSC
701643-132013	NM-SSC
701681-138253	NL-SSH
701981-151221	NL-SSH
702104-140376	NL-SCH
702642-146667	NL-SCC
704568-159775	NL-SSH
704709-141393	NL-SSH
705032-152373	NL-SSH
705179-154330	NL-SSH
706509-138302	NL-SSH
707202-143252	NL-SSH
707285-133091	NL-SSH
708712-172291	NL-SSH
709908-155361	NL-SSH
710004-172451	NL-SSH
710129-163259	NL-SSH
710286-170468	NL-SSH
710599-158381	NL-SSH
710845-164240	NL-SSH
710866-137595	NM-SSC
710873-173988	NL-SSH
711026-144687	NL-SSC
711381-150545	NL-DSC
711660-146357	NL-SSC
711735-145847	NL-SSH
711945-167290	NL-SSH
711990-153625	NL-SSH
712045-171319	NL-SSH
712246-170866	NL-SSH
712297-143977	NL-SSC
712589-159893	NL-SSH
712900-170410	NL-SSH
713180-153188	NL-SSH
714153-143721	NL-SSH
714227-159350	NL-SSH
714675-159793	NL-SSH
715145-163794	NL-SSH
715184-155979	NL-SSH
715693-164308	NL-SSH
715838-175558	NL-VSH
716105-164776	NL-SSH
716302-155212	NL-SSH
716676-163530	NL-SSH
716713-144276	NL-SSC
717219-173630	NL-SSH
717447-160633	NL-SSH
717882-168338	NL-SSH
717918-168192	NL-SSH
718701-164026	NL-SSH
718777-164670	NL-SSH
719190-168246	NL-SSH
719514-144292	NM-SSC
720081-143652	NL-SSC
720425-171505	NL-SSH
720592-161946	NL-SSH
720806-165354	NL-SSH
721192-160760	NL-SSH
721250-143248	NL-SSC
721259-158851	NL-SSH
721287-168338	NL-SSH
721478-155016	NL-SSH
722028-158427	NL-SSH
722336-143119	NM-SSC
722794-150684	NL-SSH
722801-147977	NM-SSC
723521-153330	NL-SSC
723588-167568	NL-SSH
724404-162447	NL-SSH
724527-162175	NL-SSH
724646-156686	NL-SSC
724736-157114	NL-SSH
725327-147881	NL-SSC
725555-147186	NL-SSC
725732-165900	NL-SSH
726289-156919	NL-SSH
726638-152206	NL-SSH
726934-155885	NL-SSC
727176-151437	NL-DSC
727669-168951	NL-SSC
727702-162834	NL-SSH
727782-148680	NL-DSC
727823-144457	NM-SSC
727829-165676	NL-SSC
728320-144453	NL-SSC
728563-168179	NL-SSH
728929-178203	NL-SSH
729184-178553	NL-VSC
729305-169047	NL-SSH
729429-156192	NL-SSC
729462-172866	NL-SSH
729602-148992	NL-SSC
729740-168822	NL-SSH
729773-150703	NL-SSC
729897-164126	NL-SSH
729937-148765	NL-SSC
730100-165077	NL-SSH
730172-149388	NL-SSC
730226-169348	NL-SSH
730677-144695	NL-SSC
731358-161437	NL-SSC
731572-154065	NL-SSC
731806-173782	NL-SSH
732166-149452	NM-SSC
732249-173845	NL-SSH
732323-150318	NM-SSC
733037-159366	NL-DSC
733108-152349	NM-SSC
733248-151014	NM-SSC
733400-147246	NM-SSC
733442-165419	NL-SSH
733803-150490	NM-SSC
734044-181939	NL-VSH
734542-168549	NL-SSC
734602-160719	NL-SSC
734639-160490	NL-SSC
734718-161405	NL-SSH
735124-148207	NL-SSC
735745-154454	NL-SSC
735768-167229	NL-SSC
736048-156613	NL-SSH
736385-157849	NL-SSH
736509-162249	NL-SSC
736602-182125	NL-SSH
736695-152713	NM-SSC
736804-160569	NL-SSC
736869-151062	NL-SSC
737117-170784	NL-SSH
738018-183471	NL-SSC
738062-164839	NL-SSH
738201-155031	NM-SSC
738568-157402	NL-SSC
738588-161632	NL-SSC
738681-168003	NL-SSC
739725-152883	NM-SSC
739906-153888	NL-SSC
740129-178505	NL-SSH
740341-152679	NM-SSC
740431-164231	NL-SSC
740482-159154	NL-SSC
740665-160463	NL-SSH
740763-151804	NM-SSC
741014-160285	NL-SSC
741039-160467	NL-SSC
741316-155387	NL-SSC
741522-153621	NM-SSC
741692-152638	NL-SSC
741699-159012	NL-SSC
741824-164928	NL-SSC
741874-185464	NL-SSH
742077-163515	NL-SSH
742098-153959	NL-SSC
742230-161634	NL-SSC
742454-177230	NL-SSH
742674-163890	NL-SSC
745109-174386	NL-SSC
746803-183369	NL-SSH
747797-162129	NL-SSC
747930-159876	NL-SSC
748366-160545	NL-SSC
748810-155858	NL-SSC
748932-159813	NM-SSC
749152-152761	NL-SSC
749280-171355	NL-SSH
749981-158140	NL-SSC
750148-155902	NL-SSC
750307-157723	NL-SSH
750490-169401	NL-SSH
750559-163642	NL-SSC
750645-179064	NL-SSC
750847-172820	NL-VSH
751027-168670	NL-SSH
751460-153820	NL-SSC
751706-171452	NL-SSH
751794-159846	NM-SSC
752350-171516	NL-SSH
752541-157829	NL-SSC
752586-171655	NL-SSH
752589-169047	NL-SSC
752665-154428	NL-SSC
752991-178172	NL-SSH
753244-158542	NM-SSC
753762-167100	NL-SSC
753813-157871	NM-SSC
754274-177904	NL-SSC
754857-168071	NL-SSH
755131-159252	NM-SSC
755210-159394	NM-SSC
755578-178066	NL-SSC
756192-174379	NL-SSH
756675-179102	NL-SSH
756849-176774	NL-SSC
758357-170705	NL-SSH
759268-179270	NL-VSH
759586-160859	NL-SSH
759873-178432	NL-VSH
760075-169597	NL-SSC
760090-168652	NL-SSC
760254-161090	NL-SSC
760868-168317	NL-SSH
760979-171460	NL-SSC
761025-174651	NL-SSH
761271-172880	NL-SSC
